Nazwa;Ulica;E-mail;Strona WWW;Telefon;Nip
sdasda;sadsda;sdsdfs@wp.pl;http://efwefwe.pl;sdadsa;sadasd
"";;qweqdqd@df.pl;http://dsfdsfds.pl;;
ewdwed;wedwe;ewdwed@wp.pl;http://wdwdwd.pl;wedwe;342342
ewdwed;wedwe;ewdwed@wp.pl;http://wdwdwd.pl;wedwe;dcs
ewdwed;wedwe;ewdwed@wp.pl;http://wdwdwd.pl;wedwe;dcsdsd
"";wdwd;sdfsdf2@wp.pl;http://wdewdewwp.pl;wdwd;dwd
fsdfsd;sdfsdffds;dsfsdf@sds.pl;http://dsfsdfsdf.pl;dsdfsd;
"";dsfsdf;sdasdas@wp.pl;http://ddsfdfsdffds.pl;dsfsdf;sdfdsfs
"";dfsdf;dsfsdfs@wp.pl;http://sdfsdfs.pl;dfsdfsdf;dfsdfsdf
"";erwerw;rewferw@wp.pl;http://erweeeeeeeeee.pl;werwer;werwerw
"";fefref;erferf@wp.pl;http://ferfer.pl;erferfe;frefre
2;fefref;erferf@wp.pl;http://ferfer.pl;erferfe;frefre
2;fefref;erferf@wp.pl;http://ferfer.pl;erferfe;frefre
2;fefref;erferf@wp.pl;http://ferfer.pl;erferfe;frefre
2;fefref;erferf@wp.pl;http://ferfer.pl;erferfe;frefre
"";sdfsdfsdf;dsfsdfs@wp.pl;http://dsfsdfsd.pl;sdfdsfd;fsdfsdf
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
erwee;fdgdfgdfgd;erterte@wp.pl;http://fdfdfgdfgd.pl;fgdfgdfg;fdgdfgdgd
dfgdfgd;fgdfg;gfdgdfgs@wp.pl;http://sadsada.pl;dgfgdfgdfgdfgdf;gdfgdfgdfgd
dfgdfgd;fgdfg;gfdgdfgs@wp.pl;http://sadsada.pl;dgfgdfgdfgdfgdf;gdfgdfgdfgd
dfgdfgd;fgdfg;gfdgdfgs@wp.pl;http://sadsada.pl;dgfgdfgdfgdfgdf;gdfgdfgdfgd
dfgdfgd;fgdfg;gfdgdfgs@wp.pl;http://sadsada.pl;dgfgdfgdfgdfgdf;gdfgdfgdfgd
dfgdfgd;fgdfg;gfdgdfgs@wp.pl;http://sadsada.pl;dgfgdfgdfgdfgdf;gdfgdfgdfgd
dfgdfgd;fgdfg;gfdgdfgs@wp.pl;http://sadsada.pl;dgfgdfgdfgdfgdf;gdfgdfgdfgd
ewerw;werwerwe;rwrwer@wp.pl;http://fsdfsdfsd.pl;dsfsdfsdf;3243242
dsfsdfs;dsfsdfs;dsfsdfs@wp.pl;http://dsfsdfsdfs.pl;sdfsdfd;2342342
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
gfdgfgd;sdasda;dsfsdfs@wp.pl;http://asdasd.pl;werwerw;324234
nazwa;sdfsdfs;dsfdsfsdfwp.pl;http://dsdscds.pl;32323232;3232223
fdsdfsdf;dsfsdf;sdfdsf;http://dfsdfss.pl;sdfsdfds;3242342
